value,date,filename,description,operating country,listing country,currency,sector,industry
220347.7500000,11-30-2025,NVO,Novo-Nordisk A/S ADS,Denmark,United States,USD,Health Care,Biotechnology & Life Sciences
216619.7220000,11-30-2025,RY,Royal Bank of Canada (NYSE),Canada,United States,USD,Finance,Banks
212224.0000000,11-30-2025,SIEGY,Siemens A G ADR,Germany,United States,USD,Industrials,Conglomerates
206178.0624000,11-30-2025,SHOP,Shopify Inc,United States,United States,USD,Communications,Internet
205581.1104000,11-30-2025,ISRG,Intuitive Surgical Inc (New),United States,United States,USD,Health Care,Health Care Supplies
203378.1516000,11-30-2025,PEP,"Pepsico Inc. (Loft, Inc.)",United States,United States,USD,Consumer Staples,Beverages
202430.6250000,11-30-2025,AMAT,Applied Materials Inc.,United States,United States,USD,Information Technology,Semiconductors
196720.6800000,11-30-2025,LRCX,Lam Research Corp.,United States,United States,USD,Information Technology,Semiconductors
190717.2400000,11-30-2025,C,"Citigroup, Inc.",United States,United States,USD,Finance,Banks
190428.4638000,11-30-2025,MUFG,Mitsubishi UFJ Finc Grp Inc ADR,Japan,United States,USD,Finance,Banks
187836.4936000,11-30-2025,HDB,HDFC Bank Ltd ADR,India,United States,USD,Finance,Banks
187829.7471000,11-30-2025,DIS,Walt Disney Co. (The),United States,United States,USD,Communications,Entertainment
187519.0800000,11-30-2025,SAUHF,Straumann Holding AG,United States,United States,USD,Health Care,Health Care Supplies
186053.1478000,11-30-2025,T,AT&T Inc. (Southwestern Bell - SBC Corp.),United States,United States,USD,Utilities & Telecommunications,Telephone
185981.8456000,11-30-2025,AMGN,"Amgen, Inc.",United States,United States,USD,Health Care,Pharmaceuticals
185364.3275000,11-30-2025,SONY,Sony Group Corp,United States,United States,USD,Consumer Discretionary,Household Durables
182941.8290000,11-30-2025,ALIZY,Allianz SE,Germany,United States,USD,Finance,Insurance
182703.6750000,11-30-2025,EADSY,Airbus SE ADR,Netherlands,United States,USD,Industrials,Aerospace & Defense
182557.6668000,11-30-2025,UBER,Uber Technologies Inc,United States,United States,USD,Transports,"Buses, Cabs & Trams"
181369.1100000,11-30-2025,QCOM,QUALCOMM Inc.,United States,United States,USD,Information Technology,Communications Equipment
177696.1341000,11-30-2025,NEE,NextEra Energy Inc.,United States,United States,USD,Utilities & Telecommunications,Utilities - Electric
177531.1200000,11-30-2025,INTC,Intel Corp.,United States,United States,USD,Information Technology,Semiconductors
177339.1806000,11-30-2025,BACHY,Bank of China Ltd. Unsponsored ADR,China,United States,USD,Finance,Banks
176876.6160000,11-30-2025,INTU,"Intuit, Inc.",United States,United States,USD,Information Technology,Software
175155.8705000,11-30-2025,IDEXY,Industria de Diseno Textil Inditex SA Unsponsored ADR,Spain,United States,USD,Consumer Discretionary,Retail - Specialty
173333.3263000,11-30-2025,VZ,Verizon Communications (Bell Atlantic Corp.),United States,United States,USD,Utilities & Telecommunications,Telephone
172027.6280000,11-30-2025,APH,Amphenol Corp. (1987),United States,United States,USD,Information Technology,Electronic Equipment
169780.0302000,11-30-2025,CIHKY,China Merchants Bank Co Ltd. ADR,China,United States,USD,Finance,Banks
169709.8320000,11-30-2025,TJX,TJX Companies Inc. (New),United States,United States,USD,Consumer Discretionary,Retail - Specialty
168981.2800000,11-30-2025,NOW,ServiceNow Inc,United States,United States,USD,Information Technology,IT Services
168325.3506000,11-30-2025,SCHW,Charles Schwab Corp,United States,United States,USD,Finance,Consumer Finance
167312.5308000,11-30-2025,CMWAY,"Commonwealth Bank Of Australia, Sponsored ADR",Australia,United States,USD,Finance,Banks
166009.6938000,11-30-2025,ESLOY,Essilor International Compagnie Generale,United States,United States,USD,Health Care,Health Care Supplies
164247.7716000,11-30-2025,ANET,Arista Networks Inc,United States,United States,USD,Information Technology,Communications Equipment
162385.8190000,11-30-2025,DHR,Danaher Corp.,United States,United States,USD,Health Care,Health Care Supplies
162174.4050000,11-30-2025,BLK,BlackRock Inc,United States,United States,USD,Finance,Corporate Finance
161600.7720000,11-30-2025,PDD,PDD Holdings Inc,United States,United States,USD,Consumer Discretionary,Retail - General
159719.5909000,11-30-2025,SAN,Banco Santander S.A. ADR,Spain,United States,USD,Finance,Banks
158200.8619000,11-30-2025,SFTBY,Softbank Group ADR,Japan,United States,USD,Utilities & Telecommunications,Telephone
157849.0142000,11-30-2025,DTEGY,Deutsche Telekom AG,United States,United States,USD,Utilities & Telecommunications,Telephone
157527.5760000,11-30-2025,TTE,TotalEnergies SE,United States,United States,USD,Energy,Oil & Gas Production
156143.5304000,11-30-2025,GILD,Gilead Sciences Inc.,United States,United States,USD,Health Care,Pharmaceuticals
154797.6443000,11-30-2025,KLAC,KLA Corp,United States,United States,USD,Information Technology,Semiconductors
154784.1204000,11-30-2025,SBGSY,Schneider Se ADR,United States,United States,USD,Industrials,Electrical Equipment
152980.9878000,11-30-2025,TXN,"Texas Instruments, Inc.",United States,United States,USD,Information Technology,Semiconductors
152292.7990000,11-30-2025,SPGI,S&P Global Inc. (McGraw-Hill Inc.),United States,United States,USD,Communications,Publishing
150994.5557000,11-30-2025,RTX,RTX Corp,United States,United States,USD,Industrials,Aerospace & Defense
150516.1650000,11-30-2025,BSX,Boston Scientific Inc.,United States,United States,USD,Health Care,Health Care Supplies
148665.4417000,11-30-2025,UL,Unilever PLC ADR,United Kingdom,United States,USD,Consumer Staples,Food Products
147411.5657000,11-30-2025,KOF,"Coca-Cola FEMSA, S.A.B. de C.V. ADR",Mexico,United States,USD,Consumer Staples,Beverages
146525.0766000,11-30-2025,HTHIY,Hitachi Ltd.,Japan,United States,USD,Information Technology,Electronic Equipment
146346.0570000,11-30-2025,PFE,"Pfizer, Inc.",United States,United States,USD,Health Care,Biotechnology & Life Sciences
143955.0574000,11-30-2025,TD,Toronto-Dominion Bank (The),Canada,United States,USD,Finance,Banks
142914.2400000,11-30-2025,BA,Boeing Company,United States,United States,USD,Industrials,Aerospace & Defense
141905.8258000,11-30-2025,SYK,Stryker Corp.,United States,United States,USD,Health Care,Health Care Supplies
141594.9268000,11-30-2025,SAFRY,Safran SA Unsponsored ADR,France,United States,USD,Industrials,Aerospace & Defense
141375.0384000,11-30-2025,IBDRY,Iberdrola SA ADR,Spain,United States,USD,Utilities & Telecommunications,Utilities - Electric
140099.6464000,11-30-2025,COF,Capital One Financial Corp,United States,United States,USD,Finance,Banks
139263.7826000,11-30-2025,WELL,Welltower Inc (Health Care REIT),United States,United States,USD,Real Estate,Real Estate Investment Trusts
138904.7400000,11-30-2025,BHP,BHP Group Ltd,United States,United States,USD,Energy,Coal Producers
137503.0096000,11-30-2025,UNP,Union Pacific Corp.,United States,United States,USD,Transports,Railroads
135895.4912000,11-30-2025,LOW,"Lowe's Companies, Inc.",United States,United States,USD,Consumer Discretionary,Retail - Specialty
134654.9770000,11-30-2025,ETN,Eaton Corp. (Torbenson Axle Co. - Eaton Axle & Spring),United States,United States,USD,Consumer Discretionary,Automobile Parts
134118.9859000,11-30-2025,PGR,Progressive Corp.,United States,United States,USD,Finance,Insurance
134006.4180000,11-30-2025,ADBE,"Adobe Systems, Inc.",United States,United States,USD,Information Technology,Software
133298.9568000,11-30-2025,PNGAY,Ping An Insurance (Group) Co China Ltd. ADR,China,United States,USD,Finance,Insurance
132318.2640000,11-30-2025,ABBNY,ABB Ltd,United States,United States,USD,Industrials,Electrical Equipment
131674.9750000,11-30-2025,ADI,Analog Devices Inc,United States,United States,USD,Information Technology,Semiconductors
129464.7382910,11-30-2025,HON,Honeywell International Inc. (Allied Chemical and Dye - Allied Signal),United States,United States,USD,Industrials,Aerospace & Defense
126908.1300000,11-30-2025,CRWD,Crowdstrike Holdings Inc,United States,United States,USD,Information Technology,Software
126778.6840000,11-30-2025,PANW,Palo Alto Networks Inc,United States,United States,USD,Information Technology,Software
126595.9296000,11-30-2025,SAXPY,Sampo OYJ Unsponsored ADR,Finland,United States,USD,Finance,Insurance
125807.6070000,11-30-2025,BBVA,Banco Bilbao Vizcaya Argentaria SA ADR,Spain,United States,USD,Finance,Banks
125797.8267000,11-30-2025,DE,Deere & Co.,United States,United States,USD,Industrials,Machinery
123768.1980000,11-30-2025,UBS,UBS Group AG ADR,Switzerland,United States,USD,Finance,Banks
122594.6777000,11-30-2025,SPOT,Spotify Technology SA,Luxembourg,United States,USD,Communications,Entertainment
122480.8388000,11-30-2025,SNY,Sanofi SA,United States,United States,USD,Health Care,Biotechnology & Life Sciences
120542.7804000,11-30-2025,BTI,British American Tobacco Industries,United States,United States,USD,Consumer Staples,Tobacco
120145.9392000,11-30-2025,BUD,Anheuser-Busch Inbev SA ADR,Belgium,United States,USD,Consumer Staples,Beverages
119670.4024000,11-30-2025,ISNPY,Intesa Sanpaolo SPA Sponsored ADR,Italy,United States,USD,Finance,Banks
119309.2578000,11-30-2025,PLD,"ProLogis, Inc.",United States,United States,USD,Real Estate,Real Estate Investment Trusts
119000.1725000,11-30-2025,DBSDY,DBS Group Holdings Ltd,Singapore,United States,USD,Finance,Banks
118934.7771000,11-30-2025,HCA,HCA Healthcare Inc,United States,United States,USD,Health Care,Health Care Services
118704.4457000,11-30-2025,RYCEY,Rolls-Royce Holdings Plc Sponsored ADR,United Kingdom,United States,USD,Industrials,Aerospace & Defense
117136.5622000,11-30-2025,SMFG,Sumitomo Mitsui Financial Group Inc. ADR,Japan,United States,USD,Finance,Banks
115442.3400000,11-30-2025,BN,Brookfield Corp,United States,United States,USD,Real Estate,Real Estate Management & Development
114186.4932000,11-30-2025,HOOD,Robinhood Markets Inc,United States,United States,USD,Finance,Consumer Finance
111943.0200000,11-30-2025,BYDDY,BYD Co Ltd ADR,China,United States,USD,Information Technology,Electronic Equipment
111542.6295000,11-30-2025,IBN,ICICI Bank Ltd. ADS ADR,India,United States,USD,Finance,Banks
111173.2679000,11-30-2025,VRTX,"Vertex Pharmaceuticals, Inc.",United States,United States,USD,Health Care,Pharmaceuticals
110768.4886000,11-30-2025,COP,ConocoPhillips (Phillips Petroleum),United States,United States,USD,Energy,Integrated Oil & Gas
110696.3577000,11-30-2025,AIQUY,L'Air Liquide S.A. ADR,France,United States,USD,Materials,Chemicals
110283.0228000,11-30-2025,IBKR,Interactive Brokers Group Inc,United States,United States,USD,Finance,Consumer Finance
109921.1216000,11-30-2025,NTDOY,Nintendo Co Ltd. Sponsored ADR,Japan,United States,USD,Information Technology,Software
109593.7056000,11-30-2025,MCK,McKesson Corp. (New),United States,United States,USD,Health Care,Health Care Services
109561.3092000,11-30-2025,AAGIY,AIA Group Ltd. ADR,Hong Kong,United States,USD,Finance,Insurance
109239.5350368,11-30-2025,SCCO,Southern Copper Corp.,United States,United States,USD,Materials,Copper & Zinc
109039.5180000,11-30-2025,PH,Parker-Hannifin Corp.,United States,United States,USD,Industrials,Machinery
107924.7178000,11-30-2025,BX,Blackstone Inc,United States,United States,USD,Finance,Corporate Finance
106896.5742000,11-30-2025,LMT,Lockheed Martin Corp.,United States,United States,USD,Industrials,Aerospace & Defense
106380.3996000,11-30-2025,ENB,"Enbridge, Inc. (Interprovincial Pipe Line System - IPL Energy)",Canada,United States,USD,Energy,Oil & Gas Production
105464.1336000,11-30-2025,ZURVY,Zurich Insrc ADR,Switzerland,United States,USD,Finance,Insurance
105039.2460000,11-30-2025,MELI,MercadoLibre Inc,Argentina,United States,USD,Communications,Internet
104920.1376000,11-30-2025,ENLAY,Enel S.p.A. ADR,Italy,United States,USD,Utilities & Telecommunications,Utilities - Electric
104599.2384861,11-30-2025,DD,DowDuPont Inc. (Dow Chemical),United States,United States,USD,Materials,Chemicals
103419.4770000,11-30-2025,ADP,Automatic Data Processing Inc,United States,United States,USD,Information Technology,IT Services
102420.8010000,11-30-2025,DELL,Dell Technologies Inc,United States,United States,USD,Information Technology,IT Services
101922.9988000,11-30-2025,CVS,CVS Health Corp. (Melville Shoe),United States,United States,USD,Consumer Staples,Retail - Food & Drug
101685.7845000,11-30-2025,CSUAY,China Shenhua Energy Co Ltd Unsponsored ADR,China,United States,USD,Energy,Oil & Gas Production
101432.5548000,11-30-2025,CME,CME Group Inc,United States,United States,USD,Finance,Corporate Finance
100318.7456000,11-30-2025,AXAHY,Axa ADS,France,United States,USD,Finance,Insurance
100236.5560000,11-30-2025,SO,Southern Co.,United States,United States,USD,Utilities & Telecommunications,Utilities - Electric
100143.6480000,11-30-2025,BMY,Bristol-Myers Squibb Co,United States,United States,USD,Health Care,Biotechnology & Life Sciences
99662.3685000,11-30-2025,NEM,Newmont Mining Corp. (Holding Co.),United States,United States,USD,Materials,Gold & Silver
99130.3089000,11-30-2025,MO,"Altria Group, Inc. (Philip Morris)",United States,United States,USD,Consumer Staples,Tobacco
99017.9370000,11-30-2025,SBUX,Starbucks Corp.,United States,United States,USD,Consumer Discretionary,Restaurants
98545.0849000,11-30-2025,CMCSA,Comcast Corp. (New) Class A,United States,United States,USD,Communications,Broadcasting
98005.6595000,11-30-2025,ATEYY,Advantest Corp ADR,Japan,United States,USD,Information Technology,Semiconductors
97367.3412000,11-30-2025,GSK,GSK plc,United States,United States,USD,Health Care,Biotechnology & Life Sciences
96976.6000000,11-30-2025,BNPQY,BNP Paribas S.A. ADR,France,United States,USD,Finance,Banks
96378.2228000,11-30-2025,DUK,Duke Energy Corp.,United States,United States,USD,Utilities & Telecommunications,Utilities - Multiline
95536.0660000,11-30-2025,NKE,NIKE Inc.,United States,United States,USD,Consumer Discretionary,Apparel & Luxury Goods
95071.5160000,11-30-2025,BP,BP Plc ADR (British Petroleum),United Kingdom,United States,USD,Energy,Oil & Gas Production
94384.1184000,11-30-2025,TOELY,Tokyo Electron Ltd. ADR,Japan,United States,USD,Information Technology,Semiconductors
93888.5458560,11-30-2025,NWG,Natwest Group PLC,United Kingdom,United States,USD,Finance,Banks
91895.0537000,11-30-2025,GD,General Dynamics Corp. (Electric Boat),United States,United States,USD,Industrials,Aerospace & Defense
91638.9915000,11-30-2025,MMM,3M Co. (Minnesota Mining & Manufacturing),United States,United States,USD,Industrials,Conglomerates
90606.7468000,11-30-2025,BMO,Bank of Montreal (NYSE),Canada,United States,USD,Finance,Banks
90236.8120000,11-30-2025,RIO,Rio Tinto plc (NYSE) ADR,United Kingdom,United States,USD,Materials,Gold & Silver
90187.6890000,11-30-2025,MMC,"Marsh & McLennan Companies, Inc.",United States,United States,USD,Finance,Insurance
90041.6660000,11-30-2025,ICE,Intercontinental Exchange Inc,United States,United States,USD,Finance,Corporate Finance
88726.6410000,11-30-2025,MFG,Mizuho Financial Group Inc. ADR,Japan,United States,USD,Finance,Banks
87936.3216000,11-30-2025,CHGCY,"Chugai Pharmaceutical Ltd., Unsponsored ADR",Japan,United States,USD,Health Care,Pharmaceuticals
87849.6200000,11-30-2025,MCO,Moody's Corp,United States,United States,USD,Finance,General Finance
87764.5721000,11-30-2025,WM,"Waste Management, Inc. (Old)",United States,United States,USD,Industrials,Commercial Services & Supplies
87705.1483000,11-30-2025,AEM,"Agnico-Eagle Mines, Ltd",Canada,United States,USD,Materials,Gold & Silver
87467.0995000,11-30-2025,NTES,NetEase Inc ADR,China,United States,USD,Communications,Internet
86292.4500000,11-30-2025,ORLY,O'Reilly Automotive Inc.,United States,United States,USD,Consumer Discretionary,Retail - Specialty
86289.6350000,11-30-2025,ITOCY,Itochu Corp Unsponsored ADR,Japan,United States,USD,Industrials,Distributors
86147.5641000,11-30-2025,BNS,Bank of Nova Scotia (NYSE) ADR,Canada,United States,USD,Finance,Banks
85692.2277000,11-30-2025,SHW,Sherwin-Williams Co.,United States,United States,USD,Materials,Chemicals
84973.2816000,11-30-2025,CDNS,"Cadence Design Systems, Inc.",United States,United States,USD,Information Technology,Software
84879.6775000,11-30-2025,AMT,"American Tower Corp., Class A",United States,United States,USD,Utilities & Telecommunications,Telephone
84793.2702000,11-30-2025,NTTYY,NTT Inc,United States,United States,USD,Utilities & Telecommunications,Telephone
84743.6640000,11-30-2025,DASH,DoorDash Inc,United States,United States,USD,Consumer Discretionary,Restaurants
84091.4100000,11-30-2025,ITUB,Itau Unibnco ADR,Brazil,United States,USD,Finance,Banks
83881.4988000,11-30-2025,SNOW,Snowflake Inc,United States,United States,USD,Information Technology,Software
83796.4974000,11-30-2025,NU,Nu Holdings Ltd,United States,United States,USD,Information Technology,Software
83022.2718000,11-30-2025,ATLKY,Atlas Copco AB Class A Unsponsored ADR,Sweden,United States,USD,Industrials,Machinery
82738.2934000,11-30-2025,MAR,Marriott International Inc/MD,United States,United States,USD,Consumer Discretionary,Hotels & Travel
82692.3381000,11-30-2025,REGN,Regeneron Pharmaceuticals Inc.,United States,United States,USD,Health Care,Pharmaceuticals
82627.2968000,11-30-2025,VCISY,Vinci SA ADR,France,United States,USD,Industrials,Construction & Engineering
82502.3175000,11-30-2025,MURGY,Muenchener Rueckversicherungs-Gesellschaft AG Unsponsored ADR,Germany,United States,USD,Finance,Insurance
82476.3667000,11-30-2025,HWM,Howmet Aerospace Inc. (Aluminum Co. of America - Alcoa - Arconic),United States,United States,USD,Industrials,Aerospace & Defense
81934.7550000,11-30-2025,NOC,Northrop Grumman Corp.,United States,United States,USD,Industrials,Aerospace & Defense
81892.1811000,11-30-2025,SE,Sea Ltd ADR,Singapore,United States,USD,Information Technology,IT Services
81643.2966000,11-30-2025,ING,ING Groep NV ADS ADR,Netherlands,United States,USD,Finance,Insurance
81188.7303000,11-30-2025,UPS,"United Parcel Service, Inc. Class B",United States,United States,USD,Transports,Airlines & Air Services
81110.3517000,11-30-2025,NABZY,National Australia Bank Ltd ADR,Australia,United States,USD,Finance,Banks
80812.3998000,11-30-2025,PBR,Petroleo Brasileiro SA (Petrobras) ADR,Brazil,United States,USD,Energy,Oil & Gas Production
80692.2936000,11-30-2025,CRH,CRH Plc ADR (Cement Roadstone Holdings),Ireland,United States,USD,Materials,Construction Materials
80592.4000000,11-30-2025,CVNA,Carvana Co,United States,United States,USD,Consumer Discretionary,Automobiles & Motorcycles
80232.6789000,11-30-2025,CM,Canadian Imperial Bank of Commerce (NYSE),Canada,United States,USD,Finance,Banks
79704.8344000,11-30-2025,BCS,Barclays Bank plc Sponsored ADR,United Kingdom,United States,USD,Finance,Banks
79057.4040000,11-30-2025,BK,Bank Of New York Mellon Corp,United States,United States,USD,Finance,Banks
78224.6560000,11-30-2025,CAIXY,CaixaBank SA ADR,Spain,United States,USD,Finance,Insurance
78043.6308000,11-30-2025,ECL,Ecolab Inc.,United States,United States,USD,Materials,Chemicals
76645.5795000,11-30-2025,TDG,TransDigm Group Inc,United States,United States,USD,Industrials,Commercial Services & Supplies
76623.5593000,11-30-2025,PBR.A,Petroleo Brasileiro SA Petrobras Class A ADR,Brazil,United States,USD,Energy,Oil & Gas Production
76331.1195000,11-30-2025,USB,U.S. Bancorp (First National Bank of Cincinnati),United States,United States,USD,Finance,Banks
76299.3900000,11-30-2025,MITSY,"Mitsui & Co., Ltd. ADR",Japan,United States,USD,Industrials,Distributors
76169.3868000,11-30-2025,ELV,Elevance Health Inc,United States,United States,USD,Health Care,Health Care Services
75992.8560000,11-30-2025,LYG,Lloyds Banking Group plc Sponsored ADR,United Kingdom,United States,USD,Finance,Banks
75519.3864000,11-30-2025,NGG,National Grid Plc ADR,United Kingdom,United States,USD,Utilities & Telecommunications,Utilities - Gas
75422.1555000,11-30-2025,APO,Apollo Asset Management Inc,United States,United States,USD,Finance,Corporate Finance
75107.4432000,11-30-2025,PNC,"PNC Financial Services Group, Inc. (The) (Provident National Trust Co.)",United States,United States,USD,Finance,Banks
75066.2640000,11-30-2025,EMR,Emerson Electric Co.,United States,United States,USD,Industrials,Electrical Equipment
74962.3396000,11-30-2025,CTAS,Cintas Corporation,United States,United States,USD,Industrials,Commercial Services & Supplies
74492.7015000,11-30-2025,MDLZ,Mondelez International Inc. (Kraft Foods),United States,United States,USD,Consumer Staples,Food Products
74296.2141000,11-30-2025,WMB,Williams Cos. (The),United States,United States,USD,Energy,Oil & Gas Production
74014.3504000,11-30-2025,CI,Cigna Group,United States,United States,USD,Finance,Insurance
73718.9166000,11-30-2025,EQIX,Equinix Inc,United States,United States,USD,Information Technology,IT Services
73482.5687000,11-30-2025,RELX,Relx Plc ADR,United Kingdom,United States,USD,Communications,Publishing
73222.4857000,11-30-2025,MNST,Monster Beverage Corp.,United States,United States,USD,Consumer Staples,Beverages
72702.2656000,11-30-2025,ABNB,"Airbnb, Inc.",United States,United States,USD,Consumer Discretionary,Hotels & Travel
72665.1200000,11-30-2025,ITW,Illinois Tool Works Inc,United States,United States,USD,Industrials,Machinery
